Web Search interest: finance
United States; Oct 2013 - Nov 2015

Interest over time
Week,finance
2013-10-06 - 2013-10-12,72
2013-10-13 - 2013-10-19,75
2013-10-20 - 2013-10-26,75
2013-10-27 - 2013-11-02,73
2013-11-03 - 2013-11-09,76
2013-11-10 - 2013-11-16,74
2013-11-17 - 2013-11-23,71
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,69
2013-12-15 - 2013-12-21,66
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,60
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,76
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,79
2014-02-02 - 2014-02-08,81
2014-02-09 - 2014-02-15,75
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,80
2014-03-02 - 2014-03-08,76
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,73
2014-03-23 - 2014-03-29,73
2014-03-30 - 2014-04-05,77
2014-04-06 - 2014-04-12,76
2014-04-13 - 2014-04-19,70
2014-04-20 - 2014-04-26,74
2014-04-27 - 2014-05-03,73
2014-05-04 - 2014-05-10,70
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,63
2014-06-01 - 2014-06-07,67
2014-06-08 - 2014-06-14,69
2014-06-15 - 2014-06-21,68
2014-06-22 - 2014-06-28,68
2014-06-29 - 2014-07-05,63
2014-07-06 - 2014-07-12,71
2014-07-13 - 2014-07-19,70
2014-07-20 - 2014-07-26,72
2014-07-27 - 2014-08-02,73
2014-08-03 - 2014-08-09,70
2014-08-10 - 2014-08-16,68
2014-08-17 - 2014-08-23,68
2014-08-24 - 2014-08-30,69
2014-08-31 - 2014-09-06,67
2014-09-07 - 2014-09-13,71
2014-09-14 - 2014-09-20,75
2014-09-21 - 2014-09-27,72
2014-09-28 - 2014-10-04,75
2014-10-05 - 2014-10-11,76
2014-10-12 - 2014-10-18,81
2014-10-19 - 2014-10-25,77
2014-10-26 - 2014-11-01,74
2014-11-02 - 2014-11-08,76
2014-11-09 - 2014-11-15,72
2014-11-16 - 2014-11-22,71
2014-11-23 - 2014-11-29,58
2014-11-30 - 2014-12-06,71
2014-12-07 - 2014-12-13,70
2014-12-14 - 2014-12-20,72
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,58
2015-01-04 - 2015-01-10,73
2015-01-11 - 2015-01-17,74
2015-01-18 - 2015-01-24,71
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,76
2015-02-08 - 2015-02-14,74
2015-02-15 - 2015-02-21,72
2015-02-22 - 2015-02-28,77
2015-03-01 - 2015-03-07,74
2015-03-08 - 2015-03-14,75
2015-03-15 - 2015-03-21,73
2015-03-22 - 2015-03-28,73
2015-03-29 - 2015-04-04,71
2015-04-05 - 2015-04-11,70
2015-04-12 - 2015-04-18,74
2015-04-19 - 2015-04-25,74
2015-04-26 - 2015-05-02,76
2015-05-03 - 2015-05-09,72
2015-05-10 - 2015-05-16,71
2015-05-17 - 2015-05-23,70
2015-05-24 - 2015-05-30,63
2015-05-31 - 2015-06-06,68
2015-06-07 - 2015-06-13,67
2015-06-14 - 2015-06-20,68
2015-06-21 - 2015-06-27,69
2015-06-28 - 2015-07-04,69
2015-07-05 - 2015-07-11,78
2015-07-12 - 2015-07-18,74
2015-07-19 - 2015-07-25,74
2015-07-26 - 2015-08-01,71
2015-08-02 - 2015-08-08,73
2015-08-09 - 2015-08-15,73
2015-08-16 - 2015-08-22,77
2015-08-23 - 2015-08-29,100
2015-08-30 - 2015-09-05,79
2015-09-06 - 2015-09-12,68
2015-09-13 - 2015-09-19,75
2015-09-20 - 2015-09-26,74
2015-09-27 - 2015-10-03,77
2015-10-04 - 2015-10-10,76
2015-10-11 - 2015-10-17,71
2015-10-18 - 2015-10-24,73
2015-10-25 - 2015-10-31,73
2015-11-01 - 2015-11-07,72
2015-11-08 - 2015-11-14,74
2015-11-15 - 2015-11-21, 


Top sub-regions for finance
Sub-region,finance
New York,100
New Jersey,85
Connecticut,75
Texas,74
Massachusetts,74
District of Columbia,72
California,71
Georgia,71
Delaware,68
Illinois,66
North Carolina,66
Maryland,64
Alabama,63
Florida,62
Tennessee,62
South Carolina,61
Arkansas,61
Louisiana,60
Mississippi,58
Pennsylvania,58
Rhode Island,55
Missouri,55
Oklahoma,55
New Hampshire,54
New Mexico,53
Minnesota,53
Kentucky,52
Ohio,52
Colorado,52
Wisconsin,51
Indiana,50
Vermont,50
Utah,49
Nevada,49
Virginia,49
Idaho,47
Hawaii,47
Michigan,46
Arizona,46
Washington,46
North Dakota,46
South Dakota,45
Iowa,44
Kansas,44
Maine,42
Nebraska,41
Alaska,41
Montana,40
West Virginia,40
Wyoming,39
Oregon,27


Top metros for finance
Metro,finance
New York NY,100
San Francisco-Oakland-San Jose CA,77
Montgomery (Selma) AL,74
Houston TX,72
Beaumont-Port Arthur TX,72
Monroe LA-El Dorado AR,71
Ft. Smith-Fayetteville-Springdale-Rogers AR,70
Sherman TX-Ada OK,70
Abilene-Sweetwater TX,69
Charlottesville VA,68
Odessa-Midland TX,68
Atlanta GA,68
Wichita Falls TX & Lawton OK,67
Columbus GA,66
Boston MA-Manchester NH,66
Chicago IL,66
Albany GA,65
Washington DC (Hagerstown MD),65
Dallas-Ft. Worth TX,65
Macon GA,64
Charlotte NC,64
Richmond-Petersburg VA,64
West Palm Beach-Ft. Pierce FL,63
Lubbock TX,63
Charleston SC,62
Hartford & New Haven CT,62
Austin TX,62
Miami-Ft. Lauderdale FL,61
Raleigh-Durham (Fayetteville) NC,61
Philadelphia PA,61
Los Angeles CA,61
Columbia-Jefferson City MO,61
Jackson MS,60
Waco-Temple-Bryan TX,60
Tallahassee FL-Thomasville GA,59
Baton Rouge LA,59
Columbia SC,59
Memphis TN,58
Gainesville FL,58
Lafayette LA,57
Albany-Schenectady-Troy NY,57
New Orleans LA,57
Birmingham AL,57
Nashville TN,57
Baltimore MD,56
Hattiesburg-Laurel MS,56
Greenville-New Bern-Washington NC,56
Savannah GA,55
Knoxville TN,55
Wilmington NC,55
Ft. Myers-Naples FL,55
Milwaukee WI,55
Salisbury MD,55
Biloxi-Gulfport MS,54
Syracuse NY,54
St. Louis MO,54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Champaign & Springfield-Decatur IL,54
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,53
Augusta GA,53
Tri-Cities TN-VA,53
Peoria-Bloomington IL,53
Little Rock-Pine Bluff AR,53
Tyler-Longview(Lufkin & Nacogdoches) TX,52
San Antonio TX,52
Greensboro-High Point-Winston Salem NC,52
Lansing MI,52
Tampa-St. Petersburg (Sarasota) FL,52
Denver CO,52
Rochester NY,52
Kansas City MO,52
Boise ID,52
Florence-Myrtle Beach SC,52
Burlington VT-Plattsburgh NY,52
Minneapolis-St. Paul MN,52
Corpus Christi TX,52
Mobile AL-Pensacola (Ft. Walton Beach) FL,51
San Diego CA,51
Indianapolis IN,51
Rockford IL,51
El Paso TX,51
Shreveport LA,51
Cincinnati OH,51
Albuquerque-Santa Fe NM,51
Evansville IN,50
Bowling Green KY,50
Jacksonville FL,50
Springfield-Holyoke MA,50
South Bend-Elkhart IN,49
Chattanooga TN,49
Panama City FL,49
Buffalo NY,49
Las Vegas NV,49
Des Moines-Ames IA,49
Providence RI-New Bedford MA,48
Lexington KY,48
Huntsville-Decatur (Florence) AL,48
Topeka KS,48
Pittsburgh PA,48
Johnstown-Altoona PA,48
Tulsa OK,48
Seattle-Tacoma WA,47
Wausau-Rhinelander WI,47
Binghamton NY,47
Minot-Bismarck-Dickinson(Williston) ND,47
Columbus-Tupelo-West Point MS,47
Oklahoma City OK,47
Norfolk-Portsmouth-Newport News VA,46
Reno NV,46
Cleveland-Akron (Canton) OH,46
Amarillo TX,46
Harrisonburg VA,46
Green Bay-Appleton WI,45
Palm Springs CA,45
Rochester MN-Mason City IA-Austin MN,45
Columbus OH,45
Sioux Falls(Mitchell) SD,45
Louisville KY,45
Orlando-Daytona Beach-Melbourne FL,45
La Crosse-Eau Claire WI,45
Springfield MO,45
Santa Barbara-Santa Maria-San Luis Obispo CA,45
Duluth MN-Superior WI,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Sacramento-Stockton-Modesto CA,44
Honolulu HI,44
Wilkes Barre-Scranton PA,44
Idaho Falls-Pocatello ID,44
Toledo OH,43
Salt Lake City UT,43
Phoenix AZ,42
Fresno-Visalia CA,42
Portland-Auburn ME,42
Harrisburg-Lancaster-Lebanon-York PA,42
Harlingen-Weslaco-Brownsville-McAllen TX,41
Detroit MI,41
Madison WI,41
Fargo-Valley City ND,41
Ft. Wayne IN,41
Grand Rapids-Kalamazoo-Battle Creek MI,41
Flint-Saginaw-Bay City MI,40
Chico-Redding CA,40
Colorado Springs-Pueblo CO,39
Omaha NE,39
Monterey-Salinas CA,39
Youngstown OH,39
Bangor ME,38
Dayton OH,38
Tucson (Sierra Vista) AZ,37
Lincoln & Hastings-Kearney NE,37
Erie PA,37
Wichita-Hutchinson KS,37
Davenport IA-Rock Island-Moline IL,37
Anchorage AK,36
Medford-Klamath Falls OR,36
Traverse City-Cadillac MI,36
Bakersfield CA,36
Spokane WA,35
Eugene OR,33
Yakima-Pasco-Richland-Kennewick WA,32
Charleston-Huntington WV,31
Portland OR,27
Roanoke-Lynchburg VA,21
Utica NY,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Sioux City IA,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
San Angelo TX,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for finance
Town/City,finance
New York,100
Boston,73
Charlotte,71
Houston,67
Washington,66
Dallas,61
San Jose,61
Atlanta,59
San Francisco,59
Austin,57
Nashville,56
Chicago,56
Minneapolis,55
San Diego,53
San Antonio,50



Top searches for finance
yahoo finance,100
yahoo,100
google finance,30
car finance,5
personal finance,5
capital one finance,5
capital one,5
world finance,5
finance news,5
hyundai,5
hyundai finance,5
security finance,5
finance calculator,5
nissan finance,5
nissan,5
td auto finance,5
department of finance,5
honda finance,5
hyundai motor finance,5
nyc finance,5
kia finance,5
yahoo news,0
yahoo finance news,0
chase auto finance,0
corporate finance,0
carmax finance,0
carmax,0
stocks,0
toyota finance,0
time finance,0
carmax auto finance,0
exeter finance,0
stock market,0
regional finance,0
american honda finance,0
dept of finance,0
progressive finance,0
car finance calculator,0
united finance,0
mariner finance,0
republic finance,0
power finance,0
finance express,0
bloomberg,0
kia motors finance,0
western finance,0
daily finance,0
auto finance calculator,0
msn finance,0



Rising searches for finance
reddit personal finance,+1,000%
exeter finance,+140%
stock market game,+130%
mariner finance,+120%
republic finance,+90%
progressive finance,+80%
regional finance,+50%
selene finance,+50%
stock market,+50%
kia finance,+40%



