Web Search interest: stock
United States; Oct 2013 - Nov 2015

Interest over time
Week,stock
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,51
2013-11-10 - 2013-11-16,48
2013-11-17 - 2013-11-23,48
2013-11-24 - 2013-11-30,44
2013-12-01 - 2013-12-07,45
2013-12-08 - 2013-12-14,44
2013-12-15 - 2013-12-21,43
2013-12-22 - 2013-12-28,42
2013-12-29 - 2014-01-04,44
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,51
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,51
2014-02-02 - 2014-02-08,52
2014-02-09 - 2014-02-15,50
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,53
2014-03-02 - 2014-03-08,52
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,45
2014-03-23 - 2014-03-29,47
2014-03-30 - 2014-04-05,48
2014-04-06 - 2014-04-12,47
2014-04-13 - 2014-04-19,44
2014-04-20 - 2014-04-26,46
2014-04-27 - 2014-05-03,44
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,43
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,39
2014-06-01 - 2014-06-07,43
2014-06-08 - 2014-06-14,45
2014-06-15 - 2014-06-21,42
2014-06-22 - 2014-06-28,40
2014-06-29 - 2014-07-05,40
2014-07-06 - 2014-07-12,40
2014-07-13 - 2014-07-19,41
2014-07-20 - 2014-07-26,43
2014-07-27 - 2014-08-02,44
2014-08-03 - 2014-08-09,41
2014-08-10 - 2014-08-16,38
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,39
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,42
2014-09-14 - 2014-09-20,47
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,44
2014-10-05 - 2014-10-11,46
2014-10-12 - 2014-10-18,51
2014-10-19 - 2014-10-25,48
2014-10-26 - 2014-11-01,46
2014-11-02 - 2014-11-08,46
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,46
2014-12-07 - 2014-12-13,45
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,42
2014-12-28 - 2015-01-03,42
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,47
2015-01-18 - 2015-01-24,47
2015-01-25 - 2015-01-31,51
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,48
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,48
2015-03-01 - 2015-03-07,50
2015-03-08 - 2015-03-14,48
2015-03-15 - 2015-03-21,48
2015-03-22 - 2015-03-28,47
2015-03-29 - 2015-04-04,46
2015-04-05 - 2015-04-11,45
2015-04-12 - 2015-04-18,48
2015-04-19 - 2015-04-25,49
2015-04-26 - 2015-05-02,51
2015-05-03 - 2015-05-09,46
2015-05-10 - 2015-05-16,44
2015-05-17 - 2015-05-23,45
2015-05-24 - 2015-05-30,40
2015-05-31 - 2015-06-06,42
2015-06-07 - 2015-06-13,41
2015-06-14 - 2015-06-20,42
2015-06-21 - 2015-06-27,43
2015-06-28 - 2015-07-04,47
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,49
2015-07-19 - 2015-07-25,52
2015-07-26 - 2015-08-01,51
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,48
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,100
2015-08-30 - 2015-09-05,58
2015-09-06 - 2015-09-12,49
2015-09-13 - 2015-09-19,49
2015-09-20 - 2015-09-26,53
2015-09-27 - 2015-10-03,52
2015-10-04 - 2015-10-10,51
2015-10-11 - 2015-10-17,49
2015-10-18 - 2015-10-24,51
2015-10-25 - 2015-10-31,54
2015-11-01 - 2015-11-07,53
2015-11-08 - 2015-11-14,51
2015-11-15 - 2015-11-21, 


Top sub-regions for stock
Sub-region,stock
New York,100
New Jersey,100
California,99
Massachusetts,93
Colorado,88
Connecticut,87
Pennsylvania,86
Washington,86
Illinois,85
Texas,83
Missouri,82
Florida,81
North Carolina,80
Wyoming,80
Minnesota,79
Maryland,78
Michigan,77
New Hampshire,77
Ohio,76
North Dakota,76
Vermont,76
Delaware,76
Rhode Island,75
Oklahoma,75
District of Columbia,75
Wisconsin,74
Arizona,74
Kentucky,74
Utah,73
Montana,73
Nebraska,73
South Dakota,72
Alaska,71
Tennessee,70
Indiana,70
Nevada,70
Hawaii,70
Georgia,69
Iowa,69
Arkansas,69
Idaho,68
Kansas,67
Maine,65
Alabama,64
South Carolina,64
Virginia,63
Louisiana,62
West Virginia,61
New Mexico,61
Mississippi,54
Oregon,42


Top metros for stock
Metro,stock
San Francisco-Oakland-San Jose CA,100
New York NY,88
Boston MA-Manchester NH,78
Casper-Riverton WY,77
Minot-Bismarck-Dickinson(Williston) ND,77
Lima OH,77
San Angelo TX,76
Cheyenne WY-Scottsbluff NE,76
Twin Falls ID,76
Rapid City SD,74
Seattle-Tacoma WA,74
West Palm Beach-Ft. Pierce FL,73
Fairbanks AK,72
Denver CO,72
San Diego CA,71
Philadelphia PA,71
Butte-Bozeman MT,71
Marquette MI,69
Parkersburg WV,69
Los Angeles CA,68
Bend OR,68
Joplin MO-Pittsburg KS,67
Dallas-Ft. Worth TX,67
Beaumont-Port Arthur TX,67
Billings MT,66
Rochester MN-Mason City IA-Austin MN,66
Salt Lake City UT,66
Quincy IL-Hannibal MO-Keokuk IA,66
Minneapolis-St. Paul MN,66
